Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Cessna,A188B,No,1.0,Reciprocating,Aerial Application,VMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Aeronca,7BCM,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,28-151,No,1.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Cessna,340A,No,2.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,172H,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Mooney,M20C,Yes,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,A185F,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Piper,PA-32-260,No,1.0,Reciprocating,Business,VMC
Fatal(1),Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,IMC
Incident,Airplane,Beech,B200,No,2.0,Turbo Prop,Executive/corporate,VMC
Fatal(1),Airplane,Cessna,150,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Unknown,VMC
Incident,Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Mooney,M20J,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,TR182,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Aeronca,7AC,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,177B,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,140,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182L,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172P,No,1.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Piper,PA-22,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150L,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Beech,36,No,1.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,180K,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-22,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,99,No,2.0,Turbo Prop,Unknown,IMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Unknown,VMC
Fatal(2),Airplane,Cessna,182,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Bellanca,7ECA,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,TR182,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,P206,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Grumman,1159,No,2.0,Turbo Jet,Executive/corporate,VMC
Non-Fatal,Airplane,Piper,PA-32,No,1.0,Reciprocating,Unknown,IMC
Fatal(1),Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,IMC
Fatal(2),Airplane,Cessna,150G,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,U206G,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,T210N,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Smith Miniplane,BK-1,Yes,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Mooney,M20J,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Mitsubishi,MU2B-40,No,2.0,Turbo Prop,Business,IMC
Non-Fatal,Airplane,Mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,Cessna,150J,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Taylorcraft,F19,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Ted Smith,AEROSTAR 600,No,2.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Bellanca,7KCAB,No,1.0,Reciprocating,Instructional,VMC
Fatal(2),Airplane,Piper,PA-28,No,1.0,Reciprocating,Personal,VMC
Fatal(4),Airplane,Piper,PA-32R-300,No,1.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,T210L,Yes,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Boeing,A75N1,No,1.0,Reciprocating,Aerial Application,VMC
Non-Fatal,Airplane,Piper,PA-31,No,2.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Bellanca,7KCAB,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Taylorcraft,BC12-D,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,180,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-28-181,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Ercoupe,415-C,No,2.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182H,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Instructional,VMC
Fatal(8),Airplane,Piper,PA-24-180,No,1.0,Reciprocating,Personal,VMC
Fatal(8),Airplane,Cessna,182B,No,1.0,Reciprocating,Personal,VMC
