Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Boeing,737-823,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,"Bombardier, Inc.",CL-600-2B16,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,CESSNA,510,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL600-2D24,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOEING,MD-11F,No,3.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER,140,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Eclipse Aviation Corporation,EA500,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,Cessna,510,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,DOUGLAS,MD-10,No,3.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,"Bombardier, Inc.",CL-600-2C10,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,B747,No,,Turbo Fan,,
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD-81,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Eclipse Aviation Corporation,EA500,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,Airbus Industrie,A319-114,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Eclipse Aviation Corporation,EA500,No,2.0,Turbo Fan,Personal,VMC
Fatal,Airplane,Raytheon Corporate Jets,BAE 125-800A,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,BOEING,757,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,777-300,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,CESSNA,501,No,2.0,Turbo Fan,Personal,
Non-Fatal,Airplane,BOEING,747-209B,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560,No,2.0,Turbo Fan,Positioning,VMC
Fatal,Airplane,Learjet,LR60,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757-223,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,AIRBUS,320,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-700,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,680,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,BOEING,777,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,DC-9-50,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOMBARDIER,CL-600-2B16,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,BOMBARDIER,CL-600-2B19,No,,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,BOMBARDIER,CL-600-2C10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-4Q8,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,DASSAULT/SUD,FAN JET,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Beechcraft,390,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOEING,747-212B,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,DC-9-83,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,ERJ 170-10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757-351,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB145,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOEING,777,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,LEARJET,45XR,No,2.0,Turbo Fan,Positioning,IMC
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Personal,IMC
Non-Fatal,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,LEARJET,35,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,DASSAULT,Falcon,No,,Turbo Fan,Business,VMC
Non-Fatal,Airplane,GATES LEARJET CORP.,35A,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Gates Learjet Corporation,Learjet 55,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,MCDONNELL-DOUGLAS,DC-10-30,No,3.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOEING,767,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,757-236,No,,Turbo Fan,Unknown,
Non-Fatal,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,DC-10,No,3.0,Turbo Fan,,VMC
,Airplane,BOEING,747-436,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOEING,767 332,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A330,No,2.0,Turbo Fan,,VMC
,Airplane,BOMBARDIER INC,CL-600-2B1,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B1,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,DORNIER GMBH,ALPHA-JET,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,AIRBUS,A330-323,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,AIRBUS,A320-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-20,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOEING,737-3B7,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER,EMB170,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,RAYTHEON AIRCRAFT COMPANY,BE-400A,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,IMC
,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
